



time,file,func,line,serious_error,error,warning,msg,format_exception,phase,gnss_time,date,lat,lon,alt,alt_base_press,goal_lat,goal_lon,temp,press,camera_area,camera_order,camera_center_x,camera_center_y,camera_frame_size_x,camera_frame_size_y,motor_l,motor_r,goal_relative_x,goal_relative_y,angle_to_goal,distance_to_goal,accel_all_x,accel_all_y,accel_all_z,accel_line_x,accel_line_y,accel_line_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,grav_x,grav_y,grav_z,euler_x,euler_y,euler_z,nmea
"308.615904243","/home/SC-23/program/FM/FM_2/_FM.py","leftturn","260",,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,
"308.626918471","/home/SC-23/program/FM/FM_2/_FM.py","leftturn","272",,,,,,,,,,,,,,,,,,,,,,,"-1","1",,,,,,,,,,,,,,,,,,,,,,,
"314.629987664","/home/SC-23/program/FM/FM_2/_FM.py","accel","212",,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,
"314.639775132","/home/SC-23/program/FM/FM_2/_FM.py","accel","223",,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,
"314.640484177","/home/SC-23/program/FM/FM_2/_FM.py","accel","224",,,,"motor: accel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"316.643056092","/home/SC-23/program/FM/FM_2/bno055.py","getVector","307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.8088888888888889","-0.38333333333333336","-0.042222222222222223",,,,,,,
"316.845792597","/home/SC-23/program/FM/FM_2/bno055.py","getVector","307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.057777777777777775","-0.4777777777777778","-0.41333333333333333",,,,,,,
"317.048368716","/home/SC-23/program/FM/FM_2/bno055.py","getVector","307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.3333333333333333","0.14","0.16",,,,,,,
"317.250638885","/home/SC-23/program/FM/FM_2/bno055.py","getVector","307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.1","-0.3233333333333333","0.12555555555555556",,,,,,,
"317.452252872","/home/SC-23/program/FM/FM_2/bno055.py","getVector","307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.18222222222222223","-0.09222222222222222","-0.24666666666666667",,,,,,,
"319.652860974","/home/SC-23/program/FM/FM_2/_FM.py","accel","212",,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,
"319.66752298","/home/SC-23/program/FM/FM_2/_FM.py","accel","223",,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,
"319.667917437","/home/SC-23/program/FM/FM_2/_FM.py","accel","224",,,,"motor: accel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"323.672278964","/home/SC-23/program/FM/FM_2/bno055.py","getVector","319",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.3","0.37","-9.79",,,,
"323.672734864","/home/SC-23/program/FM/FM_2/_FM.py","main","960",,,,"muki_seizyou",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"327.702918055","/home/SC-23/program/FM/FM_2/_FM.py","leftturn","260",,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,
"327.714144873","/home/SC-23/program/FM/FM_2/_FM.py","leftturn","272",,,,,,,,,,,,,,,,,,,,,,,"-1","1",,,,,,,,,,,,,,,,,,,,,,,
"333.717059732","/home/SC-23/program/FM/FM_2/_FM.py","accel","212",,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,
"333.727351071","/home/SC-23/program/FM/FM_2/_FM.py","accel","223",,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,
"333.727758119","/home/SC-23/program/FM/FM_2/_FM.py","accel","224",,,,"motor: accel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"335.730273744","/home/SC-23/program/FM/FM_2/bno055.py","getVector","307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.006666666666666667","0.27111111111111114","-0.12777777777777777",,,,,,,
"335.932855512","/home/SC-23/program/FM/FM_2/bno055.py","getVector","307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.19555555555555557","-0.5211111111111111","0.09666666666666666",,,,,,,
"336.134563001","/home/SC-23/program/FM/FM_2/bno055.py","getVector","307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.005555555555555556","0.81","0.12111111111111111",,,,,,,
"336.336158598","/home/SC-23/program/FM/FM_2/bno055.py","getVector","307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.0011111111111111111","0.052222222222222225","-0.31444444444444447",,,,,,,
"336.537705514","/home/SC-23/program/FM/FM_2/bno055.py","getVector","307",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.07555555555555556","1.0166666666666666","-0.14",,,,,,,
